,count,hope_speech,non-hope_speech,neither,class,tweet
0,3,0,0,3,2,Nice interview
1,3,0,3,0,1,Serious energy
2,3,0,3,0,1,@Edward  yesss!
3,3,0,2,1,1,she’s inspiring
4,6,0,6,0,1,I cackled
5,3,1,2,0,1,Same here
6,3,0,3,0,1,@Hi Qwerty
7,3,0,3,0,1,Connor Richie
8,3,0,3,0,1,Blm comedy
9,3,1,2,0,1,@Hi Qwerty
10,3,0,3,0,1,Some1 seriously?
11,3,0,3,0,1,@'`  exactly
12,3,0,2,1,1,Shooketh !!!
13,3,0,3,0,1,Penguin or Panda he*
14,3,1,2,0,1,The real donald trump Lock them borders
15,3,0,3,0,1,Ja On
16,3,0,3,0,1,Some1 seriously?
17,3,1,2,0,1,@Will Weathers
18,3,0,3,0,1,think  what
19,3,0,3,0,1,Jonathan LaBrae
20,3,0,3,0,1,What virus?
21,3,0,3,0,1,@Jack Parsons
22,3,0,3,0,1,@Tabitha Whitlock
23,3,0,3,0,1,I agree
24,3,0,3,0,1,Me too
25,3,0,2,1,1,Hell yeah
26,3,0,3,0,1,I agree
27,3,0,3,0,1,beautiful woman
28,3,0,3,0,1,beautiful woman
29,3,0,3,0,1,Hillary Clinton.
30,3,0,3,0,1,she’s inspiring
31,3,3,0,1,1,You can do it! Believe of yourself!
32,3,0,3,0,1,I agree
33,3,0,3,0,1,Nice interview
34,3,0,3,0,1,Her face
35,3,0,3,0,1,Thank you
36,3,0,3,0,1,@cricket_price  agreed
37,3,0,3,0,1,Invented  it.
38,3,0,2,1,1,I agree
39,3,0,3,0,1,I’m homophobic
40,3,0,1,2,2,The sweetest
41,3,0,3,0,1,Absolutely beautiful
42,3,0,3,0,1,Me too
43,3,0,3,0,1,Martian lives matter
44,3,0,3,0,1,@Thomas Davidson ????????
45,3,0,3,0,1,Human race matters?.........
46,3,0,3,0,1,What’s corona virus
47,3,0,3,0,1,Theodore Haskins nBesides
48,3,0,3,0,1,Statues.....don't hit back.
49,3,1,2,0,1,cannot agree more
50,3,1,2,0,1,I'm also catholic.
51,3,0,3,0,1,@Thomas Levy precisely
52,3,0,3,0,1,Years from now
53,3,0,3,0,1,Sheriff Dave Clarke
54,3,0,2,1,1,@Molly Rebekah Scientifically
55,3,0,3,0,1,All life's matter.
56,3,0,3,0,1,She is GOD!
57,3,0,3,0,1,Freedom of speech
58,3,0,3,0,1,@JustPerson how come?
59,3,0,3,0,1,She looks great
60,3,0,2,1,1,Is a crossfitting
61,3,0,3,0,1,To this day
62,3,0,3,0,1,Candice Swanepoel thankyou
63,3,0,0,3,2,white female privilege
64,3,0,3,0,1,To many fillers
65,3,0,3,0,1,Kaio Eller nthis
66,3,0,1,2,2,Shes so weird...
67,3,0,1,2,2,Abolish Qualified Immunity
68,3,0,3,0,1,Among the three
69,3,1,2,0,1,What a panel
70,3,0,0,3,2,The difference being
71,3,0,3,0,1,good food matters
72,3,0,3,0,1,@Prella8 Not helpful.
73,3,0,3,0,1,@No Name Wow
74,3,1,2,0,1,Trans-people are trying
75,3,0,1,2,2,Cat lives matter
76,3,0,3,0,1,@Theodore Haskins Oh
77,3,1,2,0,1,@Roderick Harper yes
78,3,0,3,0,1,rainbow lives matter....
79,3,1,2,0,1,I love her
80,9,0,7,2,1,Includeing you fire?
81,3,0,3,0,1,This interview sucks
82,3,0,3,0,1,She looks awful.
83,3,1,2,0,1,No she's not
84,3,0,3,0,1,carebear09 White what
85,3,2,1,0,0,Fr  they are
87,3,0,3,0,1,Nothing really matters
88,3,0,3,0,1,Burn the witches
89,3,0,3,0,1,@Elizabeth Crosland ??????
90,3,3,0,0,0,honestly being black
91,3,1,2,0,1,Very politically unsophisticated
92,6,1,5,0,1,In most cases
93,3,1,2,0,1,she's already out
94,3,0,3,0,1,She’s in denial
95,3,1,2,0,1,IT'S NOT ILLEGAL?
96,3,0,3,0,1,She looks great
97,3,0,3,0,1,ace high five
98,3,0,3,0,1,@Theodore Haskins No
99,3,0,3,0,1,@GiRaffi 100 Wasn't
100,3,1,2,0,1,They are racists
101,3,0,3,0,1,Notice the hypocrisy
102,3,0,3,0,1,He really did
103,3,0,3,0,1,Ah yes politics
104,3,0,2,1,1,Winter Soldier thanks
105,3,0,3,0,1,My thoughts exactly
106,3,0,3,0,1,Some One SAME
107,3,0,3,0,1,bunch of coksuckers
108,3,0,3,0,1,USA is imploding
109,3,0,3,0,1,Absurdly relevant today
110,3,0,3,0,1,@Raider It's OK.
111,3,3,0,0,0,@Poseidon Um what?
112,3,0,3,0,1,@papi leche huh?
113,3,0,3,0,1,I know LOL
114,3,1,2,0,1,@The Banana WTF
115,3,0,3,0,1,The literal hypocrisy
116,3,0,0,3,2,hi to everyone
117,3,0,3,0,1,Everyone is equal
118,3,0,3,0,1,Genuine...well deserved award
119,3,0,0,3,2,@TheCausation Nice 1
120,3,0,1,2,2,@spassgamer know what
121,3,0,0,3,2,When they say
122,3,0,3,0,1,My life matters
123,3,0,0,3,2,Corvus Corax Also
124,3,0,3,0,1,She is cool!
125,3,0,0,3,2,@everett Thomas ...No?
126,3,0,3,0,1,Raphael Taylor nThanks
127,3,0,3,0,1,When she said
128,6,0,6,0,1,Her Ear though.
129,3,0,3,0,1,American lives matter.
130,3,0,3,0,1,“Demon of homosexuality.”nnMe
131,3,0,3,0,1,@Eon Ko right
132,3,0,3,0,1,House of straw
133,3,0,3,0,1,Mark Pegues hey
134,6,0,6,0,1,With the military.
135,3,0,3,0,1,@Leo Josh. no
136,3,0,3,0,1,Yes thats true
137,3,0,3,0,1,Juan what happen
138,6,0,6,0,1,Aw heck yeah!!!
139,3,1,2,0,1,just another yr
141,3,1,2,0,1,@Theodore Haskins Lying
142,3,0,1,2,2,@Brandy Collins why?
143,3,0,2,1,1,Justice 4 Prince
144,3,0,3,0,1,@BJGvideos It's not
145,3,1,2,0,1,All Lives Matter
146,3,0,3,0,1,To paraphrase Heine
147,3,0,3,0,1,Time will tell.
148,3,0,3,0,1,They don't matter.
149,3,0,2,1,1,By its cover
150,3,0,3,0,1,Love your show
151,3,0,1,2,2,she said “homosexualality”
152,3,0,3,0,1,In the 70s
153,6,0,6,0,1,@Anna Thompson AMEN!
154,4,0,4,0,1,You misspelled shot.
155,3,0,3,0,1,Support and remember
156,3,0,3,0,1,For news men
157,6,0,6,0,1,THE BLACK  EXCUSE
158,3,0,3,0,1,be the light
159,3,0,3,0,1,queen of pop
160,3,0,1,2,2,Most Lives Matter
161,3,0,2,1,1,This is underrated.
162,3,0,3,0,1,She looks great
163,3,0,3,0,1,I doubt that
164,3,0,3,0,1,preash bisshh yass
165,3,0,3,0,1,Thank you.... Simply
166,3,0,0,3,2,Noone said that
167,3,0,2,1,1,that is true
168,3,0,3,0,1,I second that
169,3,0,3,0,1,Gave me chills.
170,3,0,3,0,1,But in reality
171,3,0,3,0,1,The only way
172,3,0,3,0,1,she is amazing!!!!
173,6,0,6,0,1,It is 1
174,3,0,3,0,1,sheriff for president
175,3,0,3,0,1,they are Marxists
176,3,0,3,0,1,ofaboosting 129 lies
177,3,0,3,0,1,@saythename17 shut up.
178,3,0,3,0,1,Is inspiring right?
179,3,1,2,0,1,Primarch Alpharius yeas
180,3,0,3,0,1,Such a fake.
181,3,0,3,0,1,@Jim Black lol
182,3,0,0,3,2,@Professional Nobody Nope
183,3,0,0,3,2,Adore this woman!
184,3,0,3,0,1,That's a girl?
185,3,0,3,0,1,@Steve Cole wth
186,3,3,0,0,0,Only victim asian
187,3,0,3,0,1,I  Sheriff Clarke
188,3,0,1,2,2,These pandering Democrats
189,3,0,1,2,2,I'm a engineer
190,3,0,1,2,2,All lifes matter.
191,3,0,3,0,1,Love this sherriff
192,3,0,0,3,2,It's a choice
193,3,1,2,0,1,Palestinian lives matter.
194,3,0,3,0,1,and David Dorn?
195,3,0,3,0,1,Didn’t expect thattttt
196,3,0,3,0,1,I hate you
197,3,0,3,0,1,TheCounterpointer Nailed it.
198,6,0,0,6,2,black lives matter...only.
199,3,0,3,0,1,The statues gone
200,3,0,3,0,1,@Corn Boy 1
201,3,0,3,0,1,Some One literally
202,3,1,2,0,1,@Dus Bus yea
203,3,0,2,1,1,Hayden Hillman why?
204,3,2,1,0,0,DefEnd the Police
205,3,0,3,0,1,I would say
206,3,2,1,0,0,LOVE this !!!!!!!!!!
207,3,0,1,2,2,so I'm brown
